B19013_001E,B19013_001M,GEO_ID,NAME
Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars),id,Geographic Area Name
63017,13061,1400000US36005034400,"Census Tract 344, Bronx County, New York"
74013,22480,1400000US36005034500,"Census Tract 345, Bronx County, New York"
42813,14739,1400000US36005034800,"Census Tract 348, Bronx County, New York"
74583,29076,1400000US36005035000,"Census Tract 350, Bronx County, New York"
93750,11111,1400000US36005035100,"Census Tract 351, Bronx County, New York"
73194,29803,1400000US36005035600,"Census Tract 356, Bronx County, New York"
69766,9436,1400000US36005035800,"Census Tract 358, Bronx County, New York"
23750,5852,1400000US36005035900,"Census Tract 359, Bronx County, New York"
83043,15119,1400000US36005036000,"Census Tract 360, Bronx County, New York"
21947,5219,1400000US36005036100,"Census Tract 361, Bronx County, New York"
22226,3570,1400000US36005036300,"Census Tract 363, Bronx County, New York"
69750,14242,1400000US36005036400,"Census Tract 364, Bronx County, New York"
27304,5941,1400000US36005036501,"Census Tract 365.01, Bronx County, New York"
31588,6016,1400000US36005036502,"Census Tract 365.02, Bronx County, New York"
34500,7239,1400000US36005036700,"Census Tract 367, Bronx County, New York"
50919,13783,1400000US36005036800,"Census Tract 368, Bronx County, New York"
22273,6368,1400000US36005036901,"Census Tract 369.01, Bronx County, New York"
16293,3616,1400000US36005036902,"Census Tract 369.02, Bronx County, New York"
58636,13380,1400000US36005037000,"Census Tract 370, Bronx County, New York"
22685,6096,1400000US36005037100,"Census Tract 371, Bronx County, New York"
41346,11283,1400000US36005037200,"Census Tract 372, Bronx County, New York"
28900,9761,1400000US36005037300,"Census Tract 373, Bronx County, New York"
27695,8252,1400000US36005037400,"Census Tract 374, Bronx County, New York"
20644,3574,1400000US36005037504,"Census Tract 375.04, Bronx County, New York"
49237,14037,1400000US36005037600,"Census Tract 376, Bronx County, New York"
41333,12305,1400000US36005037800,"Census Tract 378, Bronx County, New York"
24183,8033,1400000US36005037900,"Census Tract 379, Bronx County, New York"
37544,8058,1400000US36005038000,"Census Tract 380, Bronx County, New York"
38905,4977,1400000US36005038100,"Census Tract 381, Bronx County, New York"
46806,13730,1400000US36005038200,"Census Tract 382, Bronx County, New York"
