year,uniqueid,data_value,low_confidence_limit,high_confidence_limit,populationcount,geolocation,tractfips,boro_code,boro,tract_code
2017,3651000-36061025300,9.3,8.5,10,11236,"
,  
(40.8428959834, -73.9383779425)",36061025300,061,Manhattan,025300
2017,3651000-36005021001,11.2,10.6,12,8521,"
,  
(40.8408054366, -73.8582793481)",36005021001,005,Bronx,021001
2017,3651000-36081096400,11.2,10.5,12,4441,"
,  
(40.5928554714, -73.7921857145)",36081096400,081,Queens,096400
2017,3651000-36081037700,9.2,8.4,10,4227,"
,  
(40.7556614403, -73.868713547)",36081037700,081,Queens,037700
2017,3651000-36061022000,10.8,10.3,11.3,5370,"
,  
(40.8057835953, -73.9506570581)",36061022000,061,Manhattan,022000
2017,3651000-36061015002,7.8,7.5,8.3,5437,"
,  
(40.7824499029, -73.9576477897)",36061015002,061,Manhattan,015002
2017,3651000-36081002400,8.7,8.3,9.2,2145,"
,  
(40.6972088219, -73.8465708742)",36081002400,081,Queens,002400
2017,3651000-36085018701,9.2,8.7,9.7,1807,"
,  
(40.6107618629, -74.1272857402)",36085018701,085,Staten Island,018701
2017,3651000-36085002100,10.2,9.7,10.7,4236,"
,  
(40.6314478055, -74.068393185)",36085002100,085,Staten Island,002100
2017,3651000-36047032100,11.4,10.7,12.4,5001,"
,  
(40.6668692058, -73.952183385)",36047032100,047,Brooklyn,032100
2017,3651000-36005005600,11.4,10.7,12.1,2711,"
,  
(40.8326118351, -73.8790757268)",36005005600,005,Bronx,005600
2017,3651000-36081014400,9.1,8.7,9.6,2109,"
,  
(40.6985690718, -73.8285071051)",36081014400,081,Queens,014400
2017,3651000-36047042200,9.5,8.9,10.2,3568,"
,  
(40.6068679596, -73.9699880068)",36047042200,047,Brooklyn,042200
2017,3651000-36085009601,9.2,8.8,9.8,4024,"
,  
(40.5969289264, -74.0886018304)",36085009601,085,Staten Island,009601
2017,3651000-36005021501,11.4,10.6,12.4,3506,"
,  
(40.8494359062, -73.9182367346)",36005021501,005,Bronx,021501
2017,3651000-36047074800,9.8,9.3,10.5,2012,"
,  
(40.6218930893, -73.9468957298)",36047074800,047,Brooklyn,074800
2017,3651000-36081071306,7.9,7.6,8.3,5811,"
,  
(40.7260735421, -73.8560987539)",36081071306,081,Queens,071306
2017,3651000-36061000700,7.9,7.5,8.5,8109,"
,  
(40.7034188307, -74.0054068153)",36061000700,061,Manhattan,000700
