boro_code,boro_ct201,boro_name,cdeligibil,ct2010,ctlabel,ntacode,ntaname,puma,shape_area,shape_leng,shapearea2,prop_area_15hundredths
"1","1005200",Manhattan,I,"005200","52",MN13,Hudson Yards-Chelsea-Flatiron-Union Square,"3807",1815428.9754800000227987766265869140625,5790.3885972999996738508343696594238,168662.773,1.000
"1","1005400",Manhattan,I,"005400","54",MN13,Hudson Yards-Chelsea-Flatiron-Union Square,"3807",1809255.6607699999585747718811035156250,5588.6370829199995569069869816303253,168087.106,1.000
"2","2023703",Bronx,E,"023703","237.03",BX40,Fordham South,"3707",1071852.0304900000337511301040649414062,4924.1113659000002371612936258316040,99579.723,0.703
"1","1020101",Manhattan,I,"020101","201.01",MN09,Morningside Heights,"3802",593177.2994640000397339463233947753906,3329.6787909700001364399213343858719,55108.725,1.000
"1","1020701",Manhattan,E,"020701","207.01",MN09,Morningside Heights,"3802",508167.7285530000226572155952453613281,2984.7170758100000966805964708328247,47206.183,1.000
"1","1016700",Manhattan,I,"016700","167",MN12,Upper West Side,"3806",2195172.0331100001931190490722656250000,7990.4201169199996002134867012500763,203940.791,0.673
"1","1025900",Manhattan,E,"025900","259",MN03,Central Harlem North-Polo Grounds,"3803",812094.9716410000110045075416564941406,5513.2222269399999277084134519100189,75447.146,0.658
"1","1023000",Manhattan,E,"023000","230",MN03,Central Harlem North-Polo Grounds,"3803",1869850.6093200000468641519546508789062,5672.9677602000001570559106767177582,173717.220,0.911
"2","2016500",Bronx,I,"016500","165",BX01,Claremont-Bathgate,"3705",2041029.9731499999761581420898437500000,7491.0098926299997401656582951545715,189620.579,1.000
"1","1017100",Manhattan,I,"017100","171",MN12,Upper West Side,"3806",2262383.0035600000992417335510253906250,6578.8430376400001478032208979129791,210184.996,0.632
"1","1025100",Manhattan,I,"025100","251",MN36,Washington Heights South,"3801",1716083.5512000001035630702972412109375,5376.0902346000002580694854259490967,159431.638,1.000
"1","1025300",Manhattan,E,"025300","253",MN36,Washington Heights South,"3801",1822865.8704099999740719795227050781250,5651.3156250700003511155955493450165,169352.183,1.000
"1","1027100",Manhattan,E,"027100","271",MN35,Washington Heights North,"3801",2075200.8124299999326467514038085937500,6484.3921864699987054336816072463989,192795.201,0.995
"1","1029500",Manhattan,E,"029500","295",MN01,Marble Hill-Inwood,"3801",1459956.4692999999970197677612304687500,5236.0238527999999860185198485851288,135636.308,0.986
